Attr1,Attr2,Attr3,Attr4,Attr5,Attr6,Attr7,Attr8,Attr9,Class
51,-1,81,0,50,-6,30,32,2,1
49,0,87,0,50,13,38,38,0,1
37,0,77,-1,34,-22,40,43,4,1
37,0,77,-2,16,0,40,62,22,1
42,0,87,4,42,0,45,46,2,1
37,0,77,-4,34,-1,40,43,2,1
44,-1,82,-4,44,0,38,38,0,1
37,0,78,0,-4,10,42,83,42,1
45,0,83,8,44,0,38,39,0,1
46,1,86,0,44,-19,40,42,2,1
37,0,82,0,-2,6,45,85,40,1
37,0,94,0,8,-17,57,86,30,1
60,-2,109,0,60,0,49,49,0,1
45,2,76,0,44,-3,30,32,2,1
47,-2,100,0,46,0,54,54,0,1
37,0,100,0,30,-24,64,69,6,1
52,-2,83,0,52,-2,31,32,0,1
52,0,82,0,52,-6,29,30,0,1
46,5,102,0,46,10,57,56,0,1
41,2,78,0,42,6,37,37,0,1
46,-4,79,-1,46,0,33,32,0,1
39,-1,85,0,38,0,46,46,0,1
56,-1,86,0,56,5,30,29,0,1
52,0,81,0,52,-4,29,30,0,1
49,0,80,0,50,15,31,31,0,1
51,0,82,3,52,16,31,30,0,1
44,0,79,0,44,10,36,35,0,1
41,-4,79,0,38,-15,38,40,2,1
57,1,83,0,56,0,26,26,0,1
50,2,84,0,50,0,35,35,0,1
37,0,76,2,18,0,39,57,18,1
55,0,82,0,54,23,26,28,2,1
48,1,86,0,46,0,37,39,2,1
42,-5,82,0,42,0,40,41,0,1
37,0,106,0,28,-19,69,78,8,1
49,2,87,0,50,0,38,38,0,1
42,0,77,-6,42,0,35,35,0,1
37,0,76,-3,24,19,39,52,14,1
45,-1,106,-2,44,-4,62,62,0,1
36,-5,81,0,36,0,45,45,0,1
53,0,81,0,54,19,28,27,0,1
53,-1,82,0,54,11,29,28,0,1
42,-1,78,0,42,0,36,37,2,1
48,-1,79,0,46,-1,31,33,2,1
42,-1,81,0,42,0,40,40,0,1
38,0,102,0,38,5,64,63,0,1
51,0,86,-6,52,23,36,35,0,1
55,0,93,3,54,0,38,39,2,1
49,0,81,3,50,25,33,32,0,1
46,0,84,0,46,10,39,38,0,1
41,2,85,4,42,10,44,44,0,1
56,-1,95,0,54,0,40,41,2,1
37,0,76,0,34,-21,39,42,2,1
37,0,76,-4,18,0,39,57,18,1
56,2,86,0,56,2,30,30,0,1
37,0,79,4,36,-3,42,43,2,1
37,0,80,-2,38,19,43,41,0,1
37,0,79,1,26,0,42,53,10,1
38,5,77,0,38,1,39,38,0,1
49,-4,83,0,46,-29,34,37,2,1
37,0,77,0,34,-20,40,43,4,1
55,-3,81,0,54,0,25,26,2,1
43,-1,82,0,42,-3,39,41,2,1
37,0,76,5,28,-1,39,48,8,1
55,0,95,0,54,21,40,41,2,1
37,0,77,0,16,-13,41,62,22,1
56,0,96,-5,54,0,40,42,2,1
46,0,77,0,46,24,31,30,0,1
41,0,76,0,38,-22,35,37,2,1
38,0,80,0,36,-27,42,44,2,1
56,4,95,0,54,-23,39,41,2,1
60,0,109,-7,60,0,49,49,0,1
49,0,81,6,46,-3,33,35,2,1
40,0,110,3,38,0,70,71,2,1
41,-5,88,0,42,10,47,46,0,1
48,0,88,1,46,0,39,41,2,1
55,0,83,0,54,-11,28,29,2,1
46,5,88,0,46,0,42,42,0,1
43,0,81,3,42,-3,38,40,2,1
41,0,83,-1,42,4,41,41,0,1
46,0,82,0,44,-25,36,38,2,1
49,0,88,-1,46,-5,40,42,2,1
42,0,96,-2,42,0,54,55,0,1
51,0,83,0,52,24,32,31,0,1
45,0,85,-3,44,-1,40,41,2,1
37,0,77,0,12,-8,41,65,24,1
37,0,105,-4,24,0,68,82,14,1
37,0,106,0,26,-6,68,80,12,1
55,4,79,8,54,0,24,24,0,1
38,0,80,0,38,12,42,41,0,1
48,-1,83,0,46,0,35,37,2,1
37,0,81,0,28,-7,44,52,8,1
37,0,75,0,24,11,38,52,14,1
49,0,78,0,50,15,29,29,0,1
45,0,88,0,44,0,43,44,0,1
37,0,83,4,0,0,46,83,36,1
39,0,77,0,38,-1,38,38,0,1
37,0,77,0,6,24,40,72,32,1
56,1,79,0,56,21,23,22,0,1
50,1,91,3,50,0,41,42,0,1
56,0,78,-2,56,12,22,21,0,1
48,0,81,0,46,-9,32,34,2,1
44,1,86,0,44,9,43,42,0,1
50,0,107,-3,50,-4,56,58,2,1
41,0,86,-1,42,12,45,44,0,1
37,0,79,1,12,-4,43,66,24,1
47,0,86,-1,46,-2,38,39,0,1
37,0,78,0,0,31,41,78,36,1
37,0,83,0,30,-10,47,52,6,1
46,0,107,-3,46,1,61,60,0,1
43,0,78,-2,42,-6,35,37,2,1
49,0,95,1,50,13,46,46,0,1
41,-1,78,0,42,4,37,37,0,1
38,0,75,0,38,9,37,36,0,1
37,0,95,-4,16,4,58,79,22,1
37,0,79,0,38,31,42,41,0,1
37,0,79,0,30,4,42,48,6,1
51,-2,81,0,50,-9,30,32,2,1
43,0,85,0,42,-20,42,44,2,1
38,0,76,7,38,0,38,37,0,1
37,0,97,0,30,-3,60,66,6,1
46,0,109,0,46,6,64,63,0,1
43,0,79,-3,42,-6,35,37,2,1
39,-1,86,6,38,0,47,47,0,1
44,1,86,4,44,0,42,42,0,1
47,0,90,1,46,0,43,44,0,1
53,0,86,0,52,-16,33,34,2,1
37,0,106,0,36,9,69,69,0,1
37,0,79,0,30,0,42,48,6,1
49,4,82,0,50,6,33,33,0,1
46,0,100,-4,46,0,54,53,0,1
39,-1,107,-8,38,0,68,68,0,1
37,0,104,0,26,9,67,78,12,1
53,0,81,0,54,11,28,27,0,1
39,4,79,0,38,0,41,41,0,1
41,0,83,0,42,5,42,42,0,1
49,1,86,0,46,-3,37,39,2,1
49,0,95,3,50,4,46,46,0,1
45,0,78,0,44,-16,33,34,2,1
39,3,86,0,38,0,48,48,0,1
46,0,85,0,44,-10,39,41,2,1
37,0,82,0,12,31,45,69,24,1
37,0,104,6,18,0,67,86,18,1
58,-1,81,0,56,0,23,24,2,1
53,-1,82,6,54,0,29,28,0,1
39,0,81,5,38,0,41,42,0,1
49,4,106,0,50,5,56,57,0,1
48,-1,89,-3,46,-6,41,42,2,1
49,0,88,5,46,-6,40,42,2,1
51,0,86,-5,52,0,35,34,0,1
45,-5,77,0,44,-19,32,34,2,1
41,-1,86,0,38,-5,45,47,2,1
48,0,87,0,50,28,39,38,0,1
41,-3,82,0,38,-25,41,43,2,1
50,0,108,5,50,0,58,58,0,1
57,-1,92,8,56,0,34,35,0,1
48,0,95,0,46,-6,47,49,2,1
66,-2,109,0,64,0,44,45,0,1
45,1,84,-2,44,0,40,41,0,1
46,0,79,4,46,0,33,33,0,1
37,4,75,0,20,15,38,54,16,1
46,0,77,0,44,-29,32,34,2,1
37,-1,108,-5,36,0,72,72,0,1
37,0,76,0,36,21,40,40,0,1
37,4,78,-1,16,0,41,63,22,1
38,5,76,0,38,17,38,37,0,1
49,-1,111,0,46,-23,62,64,2,1
53,3,82,0,54,3,29,28,0,1
39,2,78,-2,38,0,39,39,0,1
51,-2,84,4,52,0,33,33,0,1
55,-5,96,0,54,0,41,42,0,1
52,0,78,-1,52,-1,26,26,0,1
56,-2,86,0,56,14,30,29,0,1
43,0,83,1,44,20,40,39,0,1
37,0,77,0,36,14,40,41,0,1
43,3,85,-1,42,-2,42,44,2,1
45,0,77,0,46,19,31,30,0,1
53,5,91,0,54,5,38,37,0,1
42,-5,77,0,42,0,34,35,2,1
37,0,76,0,26,-29,40,50,10,1
37,0,95,0,26,5,58,70,12,1
42,0,86,3,42,0,44,44,0,1
37,0,76,21,20,-4,40,55,16,1
49,0,95,2,50,11,47,46,0,1
41,0,87,2,38,-6,46,48,2,1
37,0,79,0,34,0,42,45,2,1
37,1,75,0,26,0,38,49,12,1
42,0,90,6,42,0,49,49,0,1
48,0,83,-1,46,-1,35,37,2,1
46,0,86,-148,46,0,40,40,0,1
37,0,78,0,6,-15,42,73,32,1
41,-2,81,0,42,6,40,39,0,1
50,0,81,0,50,0,30,32,2,1
41,0,80,-6,42,1,39,39,0,1
41,0,84,1,38,-5,43,45,2,1
53,-1,81,0,54,17,28,27,0,1
37,0,75,0,30,21,38,44,6,1
42,-3,77,0,42,0,36,36,0,1
47,-1,84,0,46,0,36,37,0,1
50,-4,107,0,50,0,56,58,2,1
42,0,96,-1,42,0,54,55,0,1
37,0,74,0,26,-17,38,48,10,1
37,0,79,-1,26,7,43,54,10,1
37,0,81,0,24,11,44,58,14,1
37,0,79,0,18,7,43,61,18,1
37,0,94,1,30,-4,57,63,6,1
61,-4,111,0,60,-1,50,52,2,1
41,3,106,1,38,0,65,67,2,1
42,0,80,-6,42,0,38,39,0,1
37,0,75,0,20,14,38,54,16,1
37,0,76,0,34,-3,40,43,2,1
37,0,81,-2,36,0,44,44,0,1
53,0,84,0,54,2,31,30,0,1
50,2,86,0,50,0,36,37,0,1
45,-1,81,0,46,13,35,34,0,1
44,1,85,0,44,7,41,41,0,1
39,1,93,-3,38,0,55,55,0,1
56,1,83,0,56,15,27,26,0,1
37,0,77,0,28,-4,40,48,8,1
55,2,82,6,54,0,27,28,0,1
37,0,76,0,34,-22,39,43,4,1
41,0,79,2,38,-4,39,41,2,1
55,0,95,-4,54,11,40,41,2,1
49,3,88,0,50,0,39,39,0,1
46,0,79,0,46,5,33,32,0,1
45,0,80,-4,44,0,35,36,2,1
38,2,106,0,38,0,68,67,0,1
44,0,78,0,44,14,34,34,0,1
37,0,76,-3,36,1,38,39,2,1
45,0,83,0,46,31,37,36,0,1
37,0,77,0,-6,-10,41,85,44,1
42,0,82,-2,42,0,40,41,0,1
48,0,84,-2,46,0,36,37,2,1
37,0,79,0,34,2,42,46,4,1
52,-5,86,0,52,-8,33,34,0,1
45,0,89,1,44,-17,44,45,2,1
49,1,87,1,50,0,38,38,0,1
45,-1,149,3830,44,0,105,105,0,1
37,0,82,8,24,0,45,59,14,1
46,0,86,-7,46,0,40,39,0,1
43,0,81,0,44,8,38,37,0,1
37,0,83,0,30,-8,47,52,6,1
41,-1,81,0,38,-21,41,43,2,1
45,2,93,0,44,0,48,50,2,1
37,0,81,0,28,12,44,52,8,1
45,1,81,0,44,-2,35,37,2,1
43,0,77,-1,42,-2,34,36,2,1
50,0,81,-2,50,-2,32,32,0,1
49,1,81,0,50,17,33,32,0,1
42,1,78,0,42,0,37,37,0,1
56,0,82,0,56,7,26,25,0,1
45,0,86,0,44,-1,40,42,2,1
37,0,107,8,26,0,69,81,12,1
43,0,77,0,42,-20,34,35,2,1
38,2,81,0,38,18,43,42,0,1
45,5,88,0,44,0,43,44,0,1
37,0,76,-2,34,14,39,42,2,1
43,-2,77,0,44,18,34,34,0,1
55,0,79,0,54,-4,23,24,2,1
38,2,92,0,26,1,54,66,12,1
42,-5,83,0,42,0,40,41,2,1
37,0,77,-2,38,20,39,38,0,1
37,0,79,0,26,-18,42,53,12,1
44,0,88,-2,44,0,44,44,0,1
37,0,80,0,12,-8,43,67,24,1
37,0,79,0,30,-8,43,48,6,1
43,0,79,-2,42,-15,36,38,2,1
41,1,83,0,42,19,41,41,0,1
51,0,91,0,50,-6,40,42,2,1
51,0,84,0,52,4,33,33,0,1
37,0,79,0,6,10,42,74,32,1
48,0,80,0,46,-6,32,34,2,1
41,0,87,-5,38,-6,46,48,2,1
37,0,93,4,12,0,56,81,24,1
48,0,87,-4,46,0,39,41,2,1
46,0,83,0,46,9,37,37,0,1
49,0,77,0,46,-11,29,31,2,1
57,3,82,1,56,0,25,25,0,1
48,-3,83,0,50,31,35,34,0,1
37,0,80,-2,36,0,43,44,0,1
53,0,80,0,54,5,27,26,0,1
43,2,81,-4,42,0,38,40,2,1
37,0,104,0,16,-18,67,89,22,1
41,0,84,7,38,-1,43,45,2,1
41,0,80,4,42,0,39,39,0,1
40,2,89,-6,38,0,49,50,2,1
37,0,106,0,26,8,68,80,12,1
41,0,83,0,38,-27,41,44,2,1
43,-4,83,0,42,0,40,42,2,1
41,0,75,0,38,-6,34,36,2,1
41,0,77,0,42,1,36,35,0,1
37,0,83,0,12,-2,46,70,24,1
48,0,81,0,46,-12,32,34,2,1
44,0,85,0,42,-26,41,44,2,1
42,0,88,7,42,0,46,47,2,1
50,0,88,-5,50,0,38,39,0,1
53,3,83,0,54,23,30,28,0,1
53,0,86,1,54,6,33,32,0,1
37,0,108,-15,28,0,71,80,8,1
49,0,83,0,50,31,34,34,0,1
45,-5,93,0,46,5,48,47,0,1
52,-2,86,0,52,0,34,34,0,1
37,0,81,0,38,6,43,42,0,1
39,0,81,4,38,0,43,43,0,1
43,-3,77,1,42,-14,34,36,2,1
46,4,76,0,46,9,30,30,0,1
38,0,97,0,36,-30,59,61,2,1
47,-1,81,-1,46,0,33,34,0,1
41,0,79,2,38,0,38,40,2,1
37,0,83,-2,18,0,47,65,18,1
41,0,77,0,38,-18,36,38,2,1
45,-1,78,-3,44,-5,33,34,2,1
37,0,97,0,34,5,60,64,4,1
49,1,80,0,46,-10,31,34,2,1
37,-2,94,0,34,0,57,61,4,1
42,0,79,-20,42,0,37,38,2,1
44,-5,80,4,42,-22,36,39,2,1
37,0,105,3,26,1,68,79,12,1
41,0,86,-1,38,-6,45,47,2,1
43,0,79,0,44,21,36,35,0,1
49,0,81,0,50,-3,32,32,0,1
62,0,108,6,60,0,46,49,2,1
44,0,83,0,42,-11,40,42,2,1
45,1,81,0,44,0,36,37,0,1
51,1,86,0,52,10,35,34,0,1
37,0,79,0,2,6,42,76,34,1
43,-3,79,0,42,0,37,38,2,1
41,0,81,0,38,-25,39,42,2,1
37,0,76,-2,24,-5,40,53,14,1
37,0,98,0,30,-17,61,67,6,1
37,0,93,0,16,1,55,77,22,1
54,0,103,-4,54,0,49,49,0,1
42,0,76,5,42,0,34,35,2,1
38,0,81,0,38,5,43,43,0,1
37,-2,76,0,38,9,38,37,0,1
42,-3,79,0,42,0,37,38,0,1
44,0,97,0,44,8,53,53,0,1
50,0,86,1,50,0,36,37,2,1
46,0,78,-3,46,2,32,32,0,1
37,0,104,0,18,6,66,86,20,1
49,0,106,-2,50,0,57,57,0,1
44,1,83,-3,44,6,39,39,0,1
37,0,80,0,8,-4,43,72,30,1
42,0,77,0,42,0,34,35,2,1
45,0,84,0,44,-10,38,40,2,1
43,-3,99,0,42,0,56,58,2,1
41,-1,108,-2,42,-3,66,66,0,1
37,0,103,-5,18,0,66,85,20,1
37,0,78,0,8,14,41,70,30,1
58,3,79,-3,56,0,21,22,0,1
37,0,97,0,34,-15,60,64,4,1
37,0,83,2,28,0,46,54,8,1
53,0,80,0,54,19,27,26,0,1
44,2,86,0,44,0,42,42,0,1
43,0,83,0,42,-7,40,42,2,1
46,3,79,0,44,-10,33,35,2,1
56,2,83,0,56,0,26,26,0,1
37,0,102,-3,36,0,64,66,2,1
56,0,81,0,54,-4,25,26,2,1
43,0,86,-4,42,0,42,44,2,1
44,-4,95,0,44,0,51,51,0,1
37,0,93,-1,30,0,56,62,6,1
38,2,93,1,28,2,55,64,10,1
37,0,79,-4,12,0,42,66,24,1
37,0,78,0,16,19,41,63,22,1
44,0,77,3,42,-15,34,36,2,1
38,0,79,-1,38,6,41,40,0,1
37,0,90,0,34,10,53,57,4,1
41,1,86,0,42,3,45,44,0,1
45,0,87,-2,44,-4,42,43,2,1
48,-5,100,0,46,-2,52,54,2,1
37,0,76,-1,26,-3,39,50,12,1
44,0,80,0,44,1,36,36,0,1
37,0,78,8,26,-10,42,52,10,1
49,3,83,0,46,-2,34,37,2,1
52,1,86,-2,52,0,33,34,0,1
37,-3,104,0,36,-2,67,68,0,1
41,-5,108,-3,42,15,67,66,0,1
53,4,81,0,52,-8,28,29,2,1
37,0,77,0,8,4,40,69,30,1
37,0,97,0,28,10,60,69,8,1
38,5,77,0,38,0,39,38,0,1
41,2,78,0,42,1,37,37,0,1
37,0,77,1,36,6,41,41,0,1
44,2,76,0,44,8,32,32,0,1
39,0,81,7,38,0,43,43,0,1
51,-5,77,0,50,-16,27,28,2,1
37,0,84,0,28,0,47,55,8,1
37,0,76,0,20,-17,40,55,16,1
49,0,84,0,50,2,35,35,0,1
37,0,80,-1,12,-4,43,67,24,1
53,0,88,0,54,28,35,34,0,1
51,-3,82,0,52,0,31,30,0,1
37,0,76,-2,18,0,39,57,18,1
42,-3,78,6,42,0,36,37,2,1
37,0,79,0,38,28,41,40,0,1
38,0,76,0,36,-17,38,40,2,1
37,0,83,0,0,12,46,83,36,1
51,5,87,0,50,0,36,38,2,1
45,0,88,0,44,-13,43,44,2,1
47,5,79,1,46,0,32,32,0,1
57,3,90,0,56,0,33,33,0,1
44,0,84,0,44,5,40,40,0,1
37,0,99,0,28,0,62,71,8,1
56,0,97,5,54,0,40,42,2,1
37,0,93,0,12,-14,55,80,24,1
51,-5,87,0,52,7,36,35,0,1
45,0,86,-2,46,18,41,40,0,1
41,0,79,2,42,8,38,38,0,1
54,0,82,1,54,0,28,28,0,1
42,0,81,0,42,42,39,40,0,1
37,0,76,0,28,6,39,47,8,1
45,0,83,0,44,-26,37,39,2,1
45,0,76,0,46,10,31,30,0,1
37,0,104,0,18,20,67,86,18,1
59,0,108,0,56,-13,49,51,2,1
45,-1,86,-5,44,-9,41,42,2,1
37,0,82,-1,36,20,45,46,2,1
54,-5,84,0,54,0,31,30,0,1
51,4,87,0,50,0,36,38,2,1
37,0,107,0,30,4,70,76,6,1
37,0,108,0,30,-5,71,77,6,1
37,0,94,0,12,-19,57,81,24,1
37,0,77,0,34,13,41,44,2,1
44,0,86,0,42,-14,43,45,2,1
53,1,86,-2,54,2,32,32,0,1
37,0,77,-1,8,-6,41,70,28,1
37,0,107,-7,36,0,69,71,2,1
49,0,106,0,50,18,57,57,0,1
37,0,80,0,28,-27,43,52,8,1
37,0,77,0,0,-26,40,77,36,1
37,-3,80,-3,34,-6,43,46,2,1
41,5,83,0,38,-28,41,44,2,1
49,0,77,0,50,9,29,28,0,1
37,0,79,0,8,26,42,71,30,1
51,0,84,0,52,0,33,33,0,1
41,-2,86,0,42,17,45,44,0,1
39,-2,97,0,38,0,58,59,0,1
37,0,82,-4,-4,0,45,87,42,1
43,0,86,-3,42,-3,43,45,2,1
42,5,82,0,42,0,40,41,0,1
40,0,81,1,38,0,41,43,2,1
44,-5,77,0,42,-30,34,36,2,1
51,0,90,0,50,-2,39,41,2,1
37,0,79,0,8,16,42,71,28,1
43,2,96,0,42,11,53,55,2,1
44,0,84,0,42,-16,40,43,2,1
45,0,78,-3,44,-8,33,34,2,1
46,5,86,0,46,11,41,40,0,1
48,-5,106,0,46,0,58,60,2,1
37,0,81,0,28,-24,45,53,8,1
57,0,81,0,56,0,24,24,0,1
37,0,96,0,30,15,59,65,6,1
49,-5,87,0,50,3,38,38,0,1
37,0,108,0,34,-7,71,75,4,1
37,-19,106,-20,30,-9,69,75,6,1
37,0,102,0,38,31,64,63,0,1
46,0,79,1,46,12,33,32,0,1
37,0,83,4,6,0,47,78,32,1
41,0,83,-7,42,29,42,41,0,1
56,1,82,0,56,3,26,25,0,1
45,-1,77,0,46,7,32,31,0,1
37,0,77,0,18,-10,40,59,18,1
38,0,109,0,38,10,72,71,0,1
66,0,109,0,64,-5,43,45,2,1
51,-2,90,0,52,4,38,38,0,1
37,0,80,0,28,13,43,52,8,1
37,0,104,0,18,0,66,86,20,1
45,-4,76,0,44,0,31,32,0,1
41,3,77,0,42,16,36,36,0,1
37,4,77,0,36,0,39,41,2,1
46,0,87,0,44,-21,41,43,2,1
64,-1,110,2,64,0,46,46,0,1
38,3,83,0,36,2,45,46,2,1
43,-1,83,-6,42,-10,40,42,2,1
46,4,83,0,46,9,37,36,0,1
44,2,76,0,44,0,32,32,0,1
45,-5,76,0,44,-1,31,32,2,1
42,0,86,-2,42,-4,44,45,2,1
46,-4,100,0,46,0,54,54,0,1
41,0,79,0,42,7,39,38,0,1
45,5,76,0,44,0,32,32,0,1
42,-5,76,0,42,0,34,35,2,1
37,0,79,3,6,0,42,74,32,1
53,0,77,0,52,-8,25,26,2,1
44,0,76,-5,44,0,31,32,0,1
45,0,84,0,44,-4,40,41,2,1
45,-3,78,0,44,-2,33,34,2,1
37,0,80,0,30,-9,43,49,6,1
41,0,86,0,38,-28,45,48,2,1
37,-1,97,0,36,0,61,61,0,1
54,0,81,-4,54,0,27,27,0,1
37,0,81,0,10,-24,45,71,26,1
37,0,76,-6,20,0,39,55,16,1
53,1,88,0,54,2,35,34,0,1
56,4,86,0,56,4,30,30,0,1
47,0,90,0,46,0,43,44,0,1
37,-2,76,0,36,0,39,40,2,1
45,0,84,0,46,31,38,37,0,1
47,-5,100,0,46,0,54,54,0,1
44,4,87,0,44,0,43,43,0,1
45,0,81,0,46,14,35,34,0,1
45,-1,86,0,46,16,41,40,0,1
44,0,87,-3,44,18,43,43,0,1
37,0,95,0,16,-11,58,79,22,1
43,0,81,3,44,31,38,37,0,1
37,0,76,0,28,14,40,48,8,1
53,0,87,0,52,-12,34,35,2,1
45,0,84,0,44,-17,38,40,2,1
56,0,92,0,54,-8,36,38,2,1
46,1,81,0,46,12,35,35,0,1
56,0,80,0,56,4,24,23,0,1
47,2,77,0,46,0,31,31,0,1
41,5,81,0,42,12,39,39,0,1
43,0,81,-1,42,-5,37,39,2,1
49,5,80,0,46,-12,31,34,2,1
45,0,86,-1,44,5,40,42,2,1
55,2,81,0,54,0,25,26,2,1
49,-2,101,0,50,0,52,52,0,1
45,0,88,-5,44,0,43,44,2,1
37,0,80,-1,34,1,43,46,4,1
43,0,85,-1,44,29,42,41,0,1
42,-1,86,-5,42,-8,44,45,2,1
49,1,80,0,50,14,31,31,0,1
46,0,86,3,46,1,40,39,0,1
43,-3,78,0,44,20,35,34,0,1
48,-1,83,1,46,-6,35,37,2,1
41,0,79,0,42,1,38,38,0,1
51,0,79,0,50,-13,28,30,2,1
49,-4,77,-7,50,0,28,28,0,1
55,0,88,0,54,0,34,34,0,1
44,2,95,0,42,-18,52,54,2,1
45,1,88,0,44,-5,42,44,2,1
44,0,97,1,44,12,53,53,0,1
51,1,78,0,50,0,27,29,2,1
55,0,82,3,54,0,26,28,2,1
37,0,79,0,36,3,41,43,2,1
43,4,76,0,42,0,33,35,2,1
42,0,76,-1,42,-3,35,35,0,1
37,0,76,-4,28,-1,39,47,8,1
51,0,87,0,52,4,36,35,0,1
37,0,76,0,30,-14,39,45,6,1
57,0,90,4,56,0,34,33,0,1
53,0,86,0,52,-28,32,34,2,1
37,0,77,0,8,-5,40,69,30,1
37,0,82,0,-2,13,45,85,40,1
37,0,77,0,26,-19,40,51,12,1
37,0,106,4,26,0,68,80,12,1
56,0,83,0,56,12,27,26,0,1
45,0,88,-1,46,21,42,41,0,1
49,0,82,0,46,-18,33,35,2,1
48,0,94,0,50,30,46,45,0,1
45,0,80,-4,46,25,35,34,0,1
37,-3,92,-2,6,-9,55,86,32,1
37,0,78,0,10,-18,41,68,26,1
47,-5,83,0,46,0,36,36,0,1
45,3,84,0,44,0,39,40,0,1
43,0,81,0,42,-10,37,39,2,1
53,0,81,0,54,8,28,27,0,1
37,0,77,0,20,0,41,57,16,1
37,0,77,4,34,-26,40,43,2,1
44,-1,76,0,44,7,32,32,0,1
43,-4,86,0,42,-15,42,44,2,1
43,0,96,3,42,-2,53,55,2,1
37,0,94,0,34,19,57,61,4,1
48,-4,78,0,46,-4,30,32,2,1
41,0,83,1,38,-14,42,44,2,1
42,0,83,4,42,0,41,42,2,1
39,0,83,-1,38,0,43,44,0,1
49,-5,81,0,46,-30,33,35,2,1
37,0,100,0,38,22,63,62,0,1
37,0,106,0,24,-30,69,83,14,1
37,0,83,-7,30,1,46,52,6,1
40,-1,86,0,42,31,45,44,0,1
49,3,78,0,50,1,29,29,0,1
40,-1,100,0,38,0,61,62,2,1
51,0,81,0,52,10,30,30,0,1
45,0,86,-1,46,26,40,39,0,1
37,0,76,0,24,-2,39,52,14,1
37,0,76,-4,36,0,39,40,2,1
37,-4,90,0,20,0,53,69,16,1
39,5,102,0,38,0,63,63,0,1
44,1,95,0,44,10,52,51,0,1
38,1,77,0,36,-27,40,41,2,1
49,0,77,0,50,0,28,28,0,1
39,-5,110,0,38,0,71,71,0,1
44,0,80,0,42,-30,36,39,2,1
49,0,86,0,46,-31,37,39,2,1
48,-1,79,2,46,-14,30,32,2,1
37,-2,106,-3,36,-4,69,69,0,1
55,2,81,0,54,0,26,27,2,1
48,0,80,-3,46,0,32,34,2,1
37,0,78,0,6,6,42,73,32,1
47,-2,90,5,46,0,43,44,0,1
41,0,81,0,38,-11,41,43,2,1
46,1,81,0,46,6,35,35,0,1
43,0,77,0,42,-7,34,35,2,1
37,0,108,0,36,0,70,71,2,1
37,-2,79,-3,38,13,41,40,0,1
56,0,97,0,56,13,40,40,0,1
43,2,86,0,44,31,42,42,0,1
43,-2,81,8,42,0,38,40,2,1
53,2,86,0,54,2,32,32,0,1
43,-1,76,0,44,19,32,32,0,1
46,0,83,3,46,0,37,37,0,1
39,-5,81,4,38,0,42,42,0,1
43,-4,84,0,42,0,42,43,2,1
40,-4,86,0,38,0,46,47,2,1
45,0,81,0,46,31,35,34,0,1
45,3,86,-2,44,0,42,42,0,1
51,0,78,0,50,-8,27,29,2,1
37,0,79,0,10,-4,42,69,26,1
37,0,107,0,28,-5,70,78,8,1
40,1,88,0,38,0,48,50,2,1
44,0,80,0,44,6,36,36,0,1
49,0,87,6,50,3,38,38,0,1
43,3,81,-7,42,0,38,40,2,1
46,-1,84,0,46,0,38,38,0,1
42,0,79,-1,42,0,37,38,0,1
45,0,83,0,46,20,37,36,0,1
37,0,94,6,12,8,57,81,24,1
37,0,77,0,26,-15,41,52,10,1
49,0,87,0,46,-10,38,41,2,1
42,0,76,0,42,-1,34,35,0,1
37,0,108,0,36,15,71,72,0,1
37,0,97,6,34,0,59,63,4,1
37,0,78,3,34,-14,41,45,4,1
56,5,96,0,54,11,40,42,2,1
52,2,88,2,52,0,36,36,0,1
45,0,88,0,44,-3,42,44,2,1
56,2,92,0,54,0,36,38,2,1
42,-1,78,6,42,0,36,37,2,1
43,-1,106,0,42,-6,62,64,2,1
45,-1,87,-3,44,-5,42,43,2,1
44,-2,93,-4,44,0,49,49,0,1
45,0,84,-1,44,-12,39,41,2,1
37,0,77,0,20,4,40,56,16,1
45,0,81,-2,44,-4,37,37,0,1
37,0,77,-1,36,20,40,41,0,1
44,0,82,0,44,25,38,38,0,1
37,0,77,0,2,27,40,74,34,1
43,-1,77,-2,42,-7,34,36,2,1
48,-2,77,0,50,27,28,28,0,1
45,0,83,2,44,-7,37,39,2,1
48,4,83,-1,46,0,35,37,2,1
41,0,83,0,38,-15,41,44,2,1
59,1,86,0,60,21,28,27,0,1
49,-1,107,0,46,-24,58,60,2,1
37,0,79,0,36,4,42,43,2,1
56,2,84,0,56,25,28,27,0,1
37,0,76,0,28,7,40,48,8,1
45,0,83,6,44,0,37,39,2,1
37,0,80,0,20,-3,43,59,16,1
47,3,77,0,46,0,30,30,0,1
37,0,106,0,28,12,68,77,8,1
39,0,85,1,38,0,46,46,0,1
51,-3,81,0,50,-10,30,32,2,1
45,-3,86,0,46,23,41,40,0,1
39,-2,76,-2,38,0,36,37,0,1
46,4,79,0,46,22,33,32,0,1
37,4,80,-1,20,29,43,59,16,1
49,0,107,0,46,-19,58,60,2,1
37,0,80,-1,12,-3,43,67,24,1
37,0,105,0,16,-25,68,89,22,1
42,0,75,-2,42,-3,33,34,0,1
44,-536,82,-2,44,-3,38,38,0,1
37,0,93,2,12,1,55,80,24,1
37,0,77,0,8,-1,41,70,28,1
41,0,87,1,42,22,46,46,0,1
51,0,88,0,52,15,36,36,0,1
42,2,76,-3,42,0,35,35,0,1
39,-2,76,0,38,0,37,37,0,1
